,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1145,2018-05-19,12.5374362574974,-15.541578318496935,28.0444460982638,12.5374362574974,12.5374362574974,-5.70310928015767,-5.70310928015767,-5.70310928015767,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.02675662575086149,-0.02675662575086149,-0.02675662575086149,-4.62030119978595,-4.62030119978595,-4.62030119978595,0.0,0.0,0.0,6.834326977339731
1146,2018-05-20,12.448147052741803,-15.057313876406353,26.065876658523397,12.448147052741803,12.448147052741803,-6.434787187952825,-6.434787187952825,-6.434787187952825,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.512205997164285,-0.512205997164285,-0.512205997164285,-4.866529736167681,-4.866529736167681,-4.866529736167681,0.0,0.0,0.0,6.013359864788978
1147,2018-05-21,12.358857847986204,-13.064273937523527,29.456252454657633,12.358857847986204,12.358857847986204,-4.420385479680142,-4.420385479680142,-4.420385479680142,-1.056051454620859,-1.056051454620859,-1.056051454620859,1.7909195430082212,1.7909195430082212,1.7909195430082212,-5.155253568067504,-5.155253568067504,-5.155253568067504,0.0,0.0,0.0,7.938472368306062
1148,2018-05-22,12.269568643230643,-14.7572254826479,26.930075028596086,12.269568643230643,12.269568643230643,-6.588092101455618,-6.588092101455618,-6.588092101455618,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.051367397507339284,-0.051367397507339284,-0.051367397507339284,-5.4806732493274195,-5.4806732493274195,-5.4806732493274195,0.0,0.0,0.0,5.681476541775026
1149,2018-05-23,12.180279438475045,-15.388130820340479,27.364628653295053,12.180279438475045,12.180279438475045,-7.075306714151639,-7.075306714151639,-7.075306714151639,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.18304992296778866,-0.18304992296778866,-0.18304992296778866,-5.8362053365629905,-5.8362053365629905,-5.8362053365629905,0.0,0.0,0.0,5.104972724323407
1150,2018-05-24,12.090990233719447,-16.51230455607672,25.724682344365036,12.090990233719447,12.090990233719447,-7.828354542121586,-7.828354542121586,-7.828354542121586,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.5576679050857758,-0.5576679050857758,-0.5576679050857758,-6.214635182414952,-6.214635182414952,-6.214635182414952,0.0,0.0,0.0,4.262635691597861
1151,2018-05-25,12.001701028963867,-18.24839875849396,24.959293726337492,12.001701028963867,12.001701028963867,-8.124209483203144,-8.124209483203144,-8.124209483203144,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.4598716945253548,-0.4598716945253548,-0.4598716945253548,-6.608286334056931,-6.608286334056931,-6.608286334056931,0.0,0.0,0.0,3.877491545760723
1152,2018-05-26,11.912411824208277,-19.143016238741716,24.546094479350476,11.912411824208277,11.912411824208277,-8.092010236522588,-8.092010236522588,-8.092010236522588,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.0267566257464527,-0.0267566257464527,-0.0267566257464527,-7.009202156155277,-7.009202156155277,-7.009202156155277,0.0,0.0,0.0,3.820401587685689
1153,2018-05-27,11.851044732340066,-18.336534169592774,25.46236592295128,11.851044732340066,11.851044732340066,-8.97759239574669,-8.97759239574669,-8.97759239574669,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.5122059971638143,-0.5122059971638143,-0.5122059971638143,-7.409334943962016,-7.409334943962016,-7.409334943962016,0.0,0.0,0.0,2.8734523365933757
1154,2018-05-28,11.789677640471863,-17.21942692818224,27.117027182532812,11.789677640471863,11.789677640471863,-7.065869480418742,-7.065869480418742,-7.065869480418742,-1.056051454620859,-1.056051454620859,-1.056051454620859,1.790919543006963,1.790919543006963,1.790919543006963,-7.800737568804845,-7.800737568804845,-7.800737568804845,0.0,0.0,0.0,4.723808160053121
